"filename", "language", "XML", "CSS", "TypeScript", "TypeScript JSX", "JSON with Comments", "Dotenv", "JSON", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/dashboard/components/DashboardHeader.tsx", "TypeScript JSX", 0, 0, 0, 148, 0, 0, 0, 0, 0, 0, 12, 13, 173
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/dashboard/components/DashboardSidebar.tsx", "TypeScript JSX", 0, 0, 0, 244, 0, 0, 0, 0, 0, 0, 6, 15, 265
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/dashboard/components/GrowthCharts.tsx", "TypeScript JSX", 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 12, 11, 113
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/dashboard/components/QuickActions.tsx", "TypeScript JSX", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 4, 70
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/dashboard/components/RecentActivities.tsx", "TypeScript JSX", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 2, 4, 71
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/dashboard/components/StatsOverview.tsx", "TypeScript JSX", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 2, 4, 93
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/dashboard/components/SystemStatus.tsx", "TypeScript JSX", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 4, 35
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/dashboard/pages/DashboardPage.tsx", "TypeScript JSX", 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 11, 14, 166
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/finance/components/FinanceInvoicesTab.tsx", "TypeScript JSX", 0, 0, 0, 225, 0, 0, 0, 0, 0, 0, 6, 8, 239
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/finance/components/FinanceOverviewTab.tsx", "TypeScript JSX", 0, 0, 0, 446, 0, 0, 0, 0, 0, 0, 18, 24, 488
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/finance/components/FinancePaymentsTab.tsx", "TypeScript JSX", 0, 0, 0, 352, 0, 0, 0, 0, 0, 0, 20, 23, 395
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/finance/components/FinanceRenewalsTab.tsx", "TypeScript JSX", 0, 0, 0, 366, 0, 0, 0, 0, 0, 0, 24, 27, 417
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/finance/components/FinanceReportsTab.tsx", "TypeScript JSX", 0, 0, 0, 426, 0, 0, 0, 0, 0, 0, 35, 29, 490
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/finance/components/FinanceSubscriptionsTab.tsx", "TypeScript JSX", 0, 0, 0, 868, 0, 0, 0, 0, 0, 0, 37, 63, 968
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/finance/components/FinanceTabs.tsx", "TypeScript JSX", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 4, 41
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/finance/pages/FinancePage.tsx", "TypeScript JSX", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 1, 4, 65
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/packages/components/AddEditPackageModal.tsx", "TypeScript JSX", 0, 0, 0, 516, 0, 0, 0, 0, 0, 0, 23, 50, 589
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/packages/components/PackageDetailsModal.tsx", "TypeScript JSX", 0, 0, 0, 148, 0, 0, 0, 0, 0, 0, 8, 14, 170
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/packages/components/PackageFilterBar.tsx", "TypeScript JSX", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 4, 5, 72
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/packages/components/PackageStatsHeader.tsx", "TypeScript JSX", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 3, 5, 57
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/packages/components/PackagesTable.tsx", "TypeScript JSX", 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 9, 13, 159
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/packages/data/mockPackages.ts", "TypeScript", 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 2, 112
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/packages/pages/PackagesPage.tsx", "TypeScript JSX", 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 12, 13, 137
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/packages/types/package.types.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 5, 35
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/AddEditBranchModal.tsx", "TypeScript JSX", 0, 0, 0, 227, 0, 0, 0, 0, 0, 0, 8, 14, 249
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/AddEditBrandModal.tsx", "TypeScript JSX", 0, 0, 0, 423, 0, 0, 0, 0, 0, 0, 7, 19, 449
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/AddEditJobModal.tsx", "TypeScript JSX", 0, 0, 0, 616, 0, 0, 0, 0, 0, 0, 26, 58, 700
