"filename", "language", "CSS", "XML", "TypeScript JSX", "TypeScript", "JSON with Comments", "JSON", "Dotenv", "Markdown", "HTML", "comment", "blank", "total"
"/Users/omarragab/Projects/zalameh_dashboard_app/.env", "Dotenv", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
"/Users/omarragab/Projects/zalameh_dashboard_app/.oxlintrc.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"/Users/omarragab/Projects/zalameh_dashboard_app/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 10, 33
"/Users/omarragab/Projects/zalameh_dashboard_app/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 1, 19
"/Users/omarragab/Projects/zalameh_dashboard_app/package-lock.json", "JSON", 0, 0, 0, 0, 0, 2012, 0, 0, 0, 0, 1, 2013
"/Users/omarragab/Projects/zalameh_dashboard_app/package.json", "JSON", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 1, 28
"/Users/omarragab/Projects/zalameh_dashboard_app/public/favicon.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/omarragab/Projects/zalameh_dashboard_app/public/icons.svg", "XML", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"/Users/omarragab/Projects/zalameh_dashboard_app/src/App.css", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/omarragab/Projects/zalameh_dashboard_app/src/App.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 0, 0, 0, 0, 2, 5, 30
"/Users/omarragab/Projects/zalameh_dashboard_app/src/assets/react.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/omarragab/Projects/zalameh_dashboard_app/src/assets/vite.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/omarragab/Projects/zalameh_dashboard_app/src/core/auth/AuthContext.tsx", "TypeScript JSX", 0, 0, 65, 0, 0, 0, 0, 0, 0, 1, 10, 76
